date,power_consumption
2010-01-01,165.336
2010-01-02,124.784
2010-01-03,130.076
2010-01-04,144.464
2010-01-05,192.524
2010-01-06,136.97
2010-01-07,288.452
2010-01-08,184.49
2010-01-09,180.18
2010-01-10,157.784
2010-01-11,187.086
2010-01-12,0.0
2010-01-13,0.0
2010-01-14,70.262
2010-01-15,218.29
2010-01-16,242.518
2010-01-17,188.98601
2010-01-18,191.772
2010-01-19,161.754
2010-01-20,199.86
2010-01-21,185.42
2010-01-22,156.858
2010-01-23,260.356
2010-01-24,175.238
2010-01-25,147.674
2010-01-26,130.93001
2010-01-27,148.762
2010-01-28,158.52
2010-01-29,147.674
2010-01-30,235.996
2010-01-31,171.516
2010-02-01,199.416
2010-02-02,131.168
2010-02-03,136.396
2010-02-04,152.906
2010-02-05,233.98
2010-02-06,129.238
2010-02-07,297.298
2010-02-08,183.244
2010-02-09,170.312
2010-02-10,166.086
2010-02-11,186.52
2010-02-12,0.0
2010-02-13,144.794
2010-02-14,124.61
2010-02-15,131.27
2010-02-16,119.606
2010-02-17,119.56
2010-02-18,140.0
2010-02-19,135.15
2010-02-20,151.248
2010-02-21,167.45801
2010-02-22,160.624
2010-02-23,168.058
2010-02-24,150.128
2010-02-25,130.878
2010-02-26,139.31
2010-02-27,152.39
2010-02-28,134.068
2010-03-01,191.61
2010-03-02,183.692
2010-03-03,120.934
2010-03-04,206.65
2010-03-05,153.192
2010-03-06,164.036
2010-03-07,314.906
2010-03-08,177.116
2010-03-09,168.596
2010-03-10,202.814
2010-03-11,176.264
2010-03-12,0.0
2010-03-13,265.362
2010-03-14,200.632
2010-03-15,164.312
2010-03-16,167.73601
2010-03-17,185.748
2010-03-18,166.214
2010-03-19,189.478
2010-03-20,23.228
2010-03-21,86.87
2010-03-22,171.556
2010-03-23,186.634
2010-03-24,209.558
2010-03-25,186.758
2010-03-26,205.882
2010-03-27,195.092
2010-03-28,260.428
2010-03-29,207.082
2010-03-30,280.718
2010-03-31,201.578
2010-04-01,156.404
2010-04-02,141.848
2010-04-03,125.954
2010-04-04,238.976
2010-04-05,154.24
2010-04-06,185.244
2010-04-07,280.146
2010-04-08,179.432
2010-04-09,218.024
2010-04-10,187.584
2010-04-11,252.438
2010-04-12,0.0
2010-04-13,171.14
2010-04-14,179.198
2010-04-15,167.336
2010-04-16,170.38
2010-04-17,149.862
2010-04-18,148.232
2010-04-19,166.404
2010-04-20,175.902
2010-04-21,158.406
2010-04-22,186.65
2010-04-23,177.164
2010-04-24,306.838
2010-04-25,238.99
2010-04-26,166.42
2010-04-27,162.28
2010-04-28,182.684
2010-04-29,173.714
2010-04-30,208.394
2010-05-01,148.936
2010-05-02,142.978
2010-05-03,135.416
2010-05-04,165.42
2010-05-05,129.2
